date,home,away,source,format,o1,ox,o2
2026-06-11,Mexico,South Africa,Bet365,american,-209,+333,+550
2026-06-11,Mexico,South Africa,FanDuel,american,-250,+350,+800
2026-06-11,Mexico,South Africa,PredMarket,prob,69.5,20.5,10.5
2026-06-11,South Korea,Czech Republic,FanDuel,american,+165,+200,+185
2026-06-11,South Korea,Czech Republic,Bet365,american,+162,+210,+175
2026-06-11,South Korea,Czech Republic,Kalshi,prob,37,31,34
2026-06-12,Canada,Bosnia and Herzegovina,Bet365,american,-125,+280,+370
2026-06-12,United States,Paraguay,FanDuel,american,-105,+230,+310
2026-06-12,United States,Paraguay,Bet365,american,+100,+240,+275
2026-06-13,Qatar,Switzerland,Bet365,american,+850,+450,-334
2026-06-13,Qatar,Switzerland,FanDuel,american,+1300,+550,-475
2026-06-13,Brazil,Morocco,Bet365,american,-175,+300,+425
2026-06-13,Brazil,Morocco,SportsInt,american,-160,+290,+425
2026-06-13,Brazil,Morocco,PredMarket,prob,58.5,24.5,17.5
2026-06-13,Haiti,Scotland,Bet365,american,+525,+350,-225
2026-06-13,Australia,Turkey,Consensus0806,decimal,4.50,3.75,1.82
