tournament,date,home,away,p1,pn,p2,outcome,pick,hit,logloss
CDM 2010,2010-06-11,South Africa,Mexico,0.2386,0.2781,0.4833,N,2,0,1.2799
CDM 2010,2010-06-11,Uruguay,France,0.3377,0.2704,0.3919,N,2,0,1.3077
CDM 2010,2010-06-12,South Korea,Greece,0.3757,0.2725,0.3517,1,1,1,0.9789
CDM 2010,2010-06-12,Argentina,Nigeria,0.5660,0.2373,0.1967,1,1,1,0.5691
CDM 2010,2010-06-12,England,United States,0.6654,0.2001,0.1344,N,1,0,1.6087
CDM 2010,2010-06-13,Germany,Australia,0.5907,0.2270,0.1824,1,1,1,0.5265
CDM 2010,2010-06-13,Serbia,Ghana,0.5214,0.2500,0.2285,2,1,0,1.4760
CDM 2010,2010-06-13,Algeria,Slovenia,0.2533,0.2590,0.4877,2,2,1,0.7180
CDM 2010,2010-06-14,Netherlands,Denmark,0.6808,0.1958,0.1234,1,1,1,0.3845
CDM 2010,2010-06-14,Italy,Paraguay,0.5390,0.2475,0.2135,N,1,0,1.3964
CDM 2010,2010-06-14,Japan,Cameroon,0.3158,0.2671,0.4171,1,2,0,1.1526
CDM 2010,2010-06-15,Brazil,North Korea,0.9361,0.0494,0.0145,1,1,1,0.0660
CDM 2010,2010-06-15,Ivory Coast,Portugal,0.2493,0.2533,0.4974,N,2,0,1.3731
CDM 2010,2010-06-15,New Zealand,Slovakia,0.2418,0.2467,0.5115,N,2,0,1.3996
CDM 2010,2010-06-16,Honduras,Chile,0.1754,0.2249,0.5998,2,2,1,0.5112
CDM 2010,2010-06-16,South Africa,Uruguay,0.2662,0.2864,0.4474,2,2,1,0.8042
CDM 2010,2010-06-16,Spain,Switzerland,0.7744,0.1495,0.0761,2,1,0,2.5754
CDM 2010,2010-06-17,Argentina,South Korea,0.5607,0.2380,0.2013,1,1,1,0.5786
CDM 2010,2010-06-17,France,Mexico,0.3850,0.2696,0.3454,2,1,0,1.0631
CDM 2010,2010-06-17,Greece,Nigeria,0.3288,0.2726,0.3985,1,2,0,1.1122
CDM 2010,2010-06-18,Slovenia,United States,0.2945,0.2647,0.4408,N,2,0,1.3293
CDM 2010,2010-06-18,England,Algeria,0.8464,0.1086,0.0450,N,1,0,2.2202
CDM 2010,2010-06-18,Germany,Serbia,0.5842,0.2290,0.1868,2,1,0,1.6778
CDM 2010,2010-06-19,Cameroon,Denmark,0.3025,0.2651,0.4324,2,2,1,0.8385
CDM 2010,2010-06-19,Ghana,Australia,0.3723,0.2704,0.3573,N,1,0,1.3077
CDM 2010,2010-06-19,Netherlands,Japan,0.7578,0.1592,0.0830,1,1,1,0.2774
CDM 2010,2010-06-20,Slovakia,Paraguay,0.2375,0.2505,0.5120,2,2,1,0.6694
CDM 2010,2010-06-20,Brazil,Ivory Coast,0.7716,0.1492,0.0792,1,1,1,0.2593
CDM 2010,2010-06-20,Italy,New Zealand,0.7898,0.1408,0.0695,N,1,0,1.9606
CDM 2010,2010-06-21,Chile,Switzerland,0.4766,0.2590,0.2645,1,1,1,0.7411
CDM 2010,2010-06-21,Portugal,North Korea,0.7592,0.1587,0.0822,1,1,1,0.2755
CDM 2010,2010-06-21,Spain,Honduras,0.8133,0.1274,0.0593,1,1,1,0.2067
CDM 2010,2010-06-22,Greece,Argentina,0.1428,0.2068,0.6505,2,2,1,0.4300
CDM 2010,2010-06-22,Mexico,Uruguay,0.3677,0.2660,0.3663,2,1,0,1.0044
CDM 2010,2010-06-22,Nigeria,South Korea,0.3235,0.2724,0.4041,N,2,0,1.3004
CDM 2010,2010-06-22,South Africa,France,0.2418,0.2850,0.4732,1,2,0,1.4194
CDM 2010,2010-06-23,United States,Algeria,0.5834,0.2314,0.1852,1,1,1,0.5389
CDM 2010,2010-06-23,Slovenia,England,0.1297,0.1995,0.6708,2,2,1,0.3993
CDM 2010,2010-06-23,Australia,Serbia,0.2479,0.2544,0.4978,1,2,0,1.3949
CDM 2010,2010-06-23,Ghana,Germany,0.1671,0.2205,0.6124,2,2,1,0.4904
CDM 2010,2010-06-24,Cameroon,Netherlands,0.0631,0.1347,0.8022,2,2,1,0.2205
CDM 2010,2010-06-24,Denmark,Japan,0.4596,0.2626,0.2778,2,1,0,1.2808
CDM 2010,2010-06-24,Paraguay,New Zealand,0.6678,0.1997,0.1326,N,1,0,1.6112
CDM 2010,2010-06-24,Slovakia,Italy,0.1284,0.1963,0.6753,1,2,0,2.0525
CDM 2010,2010-06-25,Switzerland,Honduras,0.5162,0.2488,0.2350,N,1,0,1.3910
CDM 2010,2010-06-25,Portugal,Brazil,0.1439,0.2070,0.6491,N,2,0,1.5752
CDM 2010,2010-06-25,Chile,Spain,0.2051,0.2405,0.5544,2,2,1,0.5899
CDM 2010,2010-06-25,North Korea,Ivory Coast,0.1316,0.1997,0.6687,2,2,1,0.4025
CDM 2010,2010-06-26,Uruguay,South Korea,0.5861,0.2311,0.1827,1,1,1,0.5342
CDM 2010,2010-06-26,United States,Ghana,0.4068,0.2677,0.3254,2,1,0,1.1225
CDM 2010,2010-06-27,Germany,England,0.3538,0.2655,0.3807,1,2,0,1.0390
CDM 2010,2010-06-27,Argentina,Mexico,0.5312,0.2431,0.2257,1,1,1,0.6325
CDM 2010,2010-06-28,Brazil,Chile,0.6293,0.2142,0.1566,1,1,1,0.4632
CDM 2010,2010-06-28,Netherlands,Slovakia,0.7984,0.1360,0.0656,1,1,1,0.2252
CDM 2010,2010-06-29,Paraguay,Japan,0.4428,0.2665,0.2906,N,1,0,1.3223
CDM 2010,2010-06-29,Spain,Portugal,0.5759,0.2345,0.1896,1,1,1,0.5518
CDM 2010,2010-07-02,Netherlands,Brazil,0.2910,0.2632,0.4457,1,2,0,1.2343
CDM 2010,2010-07-02,Uruguay,Ghana,0.5740,0.2346,0.1914,N,1,0,1.4497
CDM 2010,2010-07-03,Argentina,Germany,0.3800,0.2637,0.3563,2,1,0,1.0319
CDM 2010,2010-07-03,Paraguay,Spain,0.1075,0.1824,0.7102,2,2,1,0.3423
CDM 2010,2010-07-06,Uruguay,Netherlands,0.1875,0.2335,0.5790,2,2,1,0.5465
CDM 2010,2010-07-07,Germany,Spain,0.3104,0.2630,0.4265,2,2,1,0.8521
CDM 2010,2010-07-10,Uruguay,Germany,0.2318,0.2455,0.5227,2,2,1,0.6488
CDM 2010,2010-07-11,Netherlands,Spain,0.3435,0.2707,0.3857,2,2,1,0.9527
CDM 2014,2014-06-12,Brazil,Croatia,0.8513,0.1107,0.0380,1,1,1,0.1610
CDM 2014,2014-06-13,Chile,Australia,0.6410,0.2090,0.1499,1,1,1,0.4446
CDM 2014,2014-06-13,Mexico,Cameroon,0.5079,0.2522,0.2399,1,1,1,0.6775
CDM 2014,2014-06-13,Spain,Netherlands,0.5226,0.2506,0.2268,2,1,0,1.4837
CDM 2014,2014-06-14,Ivory Coast,Japan,0.4260,0.2627,0.3113,1,1,1,0.8534
CDM 2014,2014-06-14,Uruguay,Costa Rica,0.6808,0.1943,0.1249,2,1,0,2.0803
CDM 2014,2014-06-14,Colombia,Greece,0.5210,0.2566,0.2225,1,1,1,0.6520
CDM 2014,2014-06-14,England,Italy,0.4081,0.2693,0.3226,2,1,0,1.1313
CDM 2014,2014-06-15,Switzerland,Ecuador,0.3297,0.2697,0.4007,1,2,0,1.1096
CDM 2014,2014-06-15,Argentina,Bosnia and Herzegovina,0.6827,0.1918,0.1255,1,1,1,0.3817
CDM 2014,2014-06-15,France,Honduras,0.6472,0.2112,0.1415,1,1,1,0.4351
CDM 2014,2014-06-16,Germany,Portugal,0.5149,0.2470,0.2381,1,1,1,0.6637
CDM 2014,2014-06-16,Ghana,United States,0.2832,0.2631,0.4537,2,2,1,0.7904
CDM 2014,2014-06-16,Iran,Nigeria,0.3388,0.2725,0.3887,N,2,0,1.3001
CDM 2014,2014-06-17,Belgium,Algeria,0.5910,0.2300,0.1790,1,1,1,0.5259
CDM 2014,2014-06-17,Brazil,Mexico,0.8489,0.1117,0.0394,N,1,0,2.1921
CDM 2014,2014-06-17,Russia,South Korea,0.5665,0.2395,0.1940,N,1,0,1.4291
CDM 2014,2014-06-18,Australia,Netherlands,0.0749,0.1476,0.7775,2,2,1,0.2516
CDM 2014,2014-06-18,Cameroon,Croatia,0.2291,0.2519,0.5189,2,2,1,0.6560
CDM 2014,2014-06-18,Spain,Chile,0.4626,0.2608,0.2767,2,1,0,1.2850
CDM 2014,2014-06-19,Uruguay,England,0.3632,0.2675,0.3693,1,2,0,1.0128
CDM 2014,2014-06-19,Colombia,Ivory Coast,0.5317,0.2476,0.2208,1,1,1,0.6318
CDM 2014,2014-06-19,Japan,Greece,0.3212,0.2718,0.4071,N,2,0,1.3028
CDM 2014,2014-06-20,Honduras,Ecuador,0.1679,0.2227,0.6095,2,2,1,0.4952
CDM 2014,2014-06-20,Italy,Costa Rica,0.5630,0.2399,0.1971,2,1,0,1.6240
CDM 2014,2014-06-20,Switzerland,France,0.2935,0.2706,0.4359,2,2,1,0.8303
CDM 2014,2014-06-21,Argentina,Iran,0.7393,0.1681,0.0926,1,1,1,0.3021
CDM 2014,2014-06-21,Germany,Ghana,0.7841,0.1432,0.0726,N,1,0,1.9432
CDM 2014,2014-06-21,Nigeria,Bosnia and Herzegovina,0.3484,0.2676,0.3840,1,2,0,1.0543
CDM 2014,2014-06-22,South Korea,Algeria,0.4238,0.2687,0.3075,2,1,0,1.1793
CDM 2014,2014-06-22,United States,Portugal,0.2967,0.2638,0.4395,N,2,0,1.3325
CDM 2014,2014-06-22,Belgium,Russia,0.3808,0.2714,0.3478,1,1,1,0.9656
CDM 2014,2014-06-23,Australia,Spain,0.0976,0.1717,0.7307,2,2,1,0.3137
CDM 2014,2014-06-23,Brazil,Cameroon,0.9399,0.0485,0.0116,1,1,1,0.0620
CDM 2014,2014-06-23,Croatia,Mexico,0.3576,0.2698,0.3726,2,2,1,0.9872
CDM 2014,2014-06-23,Netherlands,Chile,0.4166,0.2659,0.3175,1,1,1,0.8756
CDM 2014,2014-06-24,Japan,Colombia,0.1286,0.2007,0.6707,2,2,1,0.3994
