sealed_on,data_until,n_universes,seed,team,group,elo,p_group_win,p_runner_up,p_r32,p_r16,p_qf,p_sf,p_final,p_champion,exp_pts
2026-06-11,2026-06-09,200000,2026,Spain,H,2219.0,0.79814,0.17935,0.99549,0.77123,0.58010,0.46668,0.34155,0.23044,7.590
2026-06-11,2026-06-09,200000,2026,Argentina,J,2190.0,0.78212,0.15805,0.98167,0.69559,0.55249,0.41293,0.28910,0.18440,7.151
2026-06-11,2026-06-09,200000,2026,France,I,2125.0,0.60570,0.25133,0.95227,0.70737,0.47247,0.31079,0.17031,0.09485,6.318
2026-06-11,2026-06-09,200000,2026,England,L,2086.3,0.60491,0.27397,0.96780,0.65992,0.38213,0.22956,0.12477,0.06338,6.497
2026-06-11,2026-06-09,200000,2026,Brazil,C,2068.9,0.56105,0.29327,0.95125,0.61892,0.39813,0.23802,0.12051,0.06080,6.228
2026-06-11,2026-06-09,200000,2026,Colombia,K,2064.1,0.46476,0.34107,0.92156,0.60597,0.34029,0.18278,0.10014,0.04832,5.787
2026-06-11,2026-06-09,200000,2026,Portugal,K,2042.6,0.41903,0.36100,0.90716,0.57576,0.30641,0.16007,0.08370,0.03868,5.590
2026-06-11,2026-06-09,200000,2026,Ecuador,E,2028.0,0.45295,0.35646,0.94163,0.59020,0.30658,0.16350,0.07169,0.03136,5.909
2026-06-11,2026-06-09,200000,2026,Germany,E,2004.7,0.43159,0.36452,0.93661,0.57222,0.28817,0.14740,0.06239,0.02553,5.806
2026-06-11,2026-06-09,200000,2026,Netherlands,F,2010.8,0.44869,0.33642,0.90790,0.47808,0.28017,0.14030,0.05933,0.02480,5.656
2026-06-11,2026-06-09,200000,2026,Mexico,A,1980.3,0.66703,0.22783,0.96644,0.66368,0.36902,0.16570,0.06531,0.02446,6.630
2026-06-11,2026-06-09,200000,2026,Japan,F,1993.6,0.42049,0.34833,0.89924,0.46226,0.26508,0.12852,0.05329,0.02203,5.539
2026-06-11,2026-06-09,200000,2026,Morocco,C,1985.0,0.31799,0.39711,0.87857,0.46873,0.25993,0.12710,0.05219,0.02151,5.190
2026-06-11,2026-06-09,200000,2026,Uruguay,H,1975.5,0.18198,0.61159,0.90528,0.36643,0.19911,0.10170,0.04498,0.01645,5.222
2026-06-11,2026-06-09,200000,2026,Belgium,G,1956.8,0.45494,0.28634,0.88044,0.52001,0.25018,0.09154,0.04023,0.01472,5.449
2026-06-11,2026-06-09,200000,2026,Switzerland,B,1956.1,0.41685,0.43782,0.94866,0.56921,0.25798,0.10015,0.03770,0.01253,5.977
2026-06-11,2026-06-09,200000,2026,Croatia,L,1969.4,0.27665,0.41117,0.87809,0.44300,0.18431,0.08400,0.03454,0.01214,5.088
2026-06-11,2026-06-09,200000,2026,Norway,I,1971.7,0.21455,0.35212,0.78370,0.41933,0.20050,0.08861,0.03383,0.01179,4.439
2026-06-11,2026-06-09,200000,2026,Turkey,D,1969.5,0.29995,0.26230,0.74091,0.42723,0.19520,0.07235,0.02954,0.01039,4.397
2026-06-11,2026-06-09,200000,2026,Canada,B,1898.8,0.53382,0.36557,0.96815,0.58051,0.26460,0.08466,0.02826,0.00813,6.432
2026-06-11,2026-06-09,200000,2026,United States,D,1827.0,0.26133,0.25772,0.70690,0.38434,0.16240,0.05858,0.02236,0.00726,4.170
2026-06-11,2026-06-09,200000,2026,Iran,G,1897.1,0.31057,0.31126,0.80236,0.40280,0.15951,0.05074,0.01821,0.00549,4.725
2026-06-11,2026-06-09,200000,2026,Senegal,I,1913.7,0.15087,0.29668,0.69776,0.33111,0.14192,0.05383,0.01804,0.00545,3.904
2026-06-11,2026-06-09,200000,2026,Australia,D,1902.0,0.22345,0.24058,0.65736,0.33964,0.13593,0.04584,0.01588,0.00477,3.884
2026-06-11,2026-06-09,200000,2026,Paraguay,D,1918.6,0.21527,0.23941,0.65001,0.33332,0.13146,0.04494,0.01587,0.00475,3.838
